2026-05-13 20:46:47 | INFO     | api.main | INITIALIZING ALL LLM PROVIDERS
2026-05-13 20:46:47 | INFO     | api.main | ======================================================================
2026-05-13 20:46:47 | INFO     | api.main | [1] Initializing Google Gemini...
2026-05-13 20:46:47 | INFO     | api.main | [OK] Google Gemini ready: gemini-2.5-flash
2026-05-13 20:46:47 | INFO     | api.main | [2] Initializing Groq...
2026-05-13 20:46:47 | INFO     | api.main | [OK] Groq ready: llama-3.1-8b-instant
2026-05-13 20:46:47 | INFO     | api.main | [3] Initializing OpenRouter...
2026-05-13 20:46:48 | INFO     | api.main | [OK] OpenRouter ready: meta-llama/llama-3.1-8b-instruct:free
2026-05-13 20:46:48 | INFO     | api.main | [PRIMARY] Primary LLM: gemini-2.5-flash
2026-05-13 20:46:48 | INFO     | api.main | [FALLBACK] Fallback chain: gemini-2.5-flash -> llama-3.1-8b-instant -> meta-llama/llama-3.1-8b-instruct:free
2026-05-13 20:46:48 | INFO     | api.main | ======================================================================
2026-05-13 20:47:35 | INFO     | api.main | LogManager initialized. Logs: logs
2026-05-13 20:47:35 | INFO     | api.main | Retention: 15 days
2026-05-13 20:47:35 | INFO     | api.main | ======================================================================
2026-05-13 20:47:35 | INFO     | api.main | STARTING RAG CHATBOT v3.1
2026-05-13 20:47:35 | INFO     | api.main | ======================================================================
2026-05-13 20:47:35 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-13 20:47:39 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-05-13 20:47:39 | INFO     | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-05-13 20:47:39 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:47:39 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:47:39 | INFO     | api.main | [OK] Retriever initialized
2026-05-13 20:47:39 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionGetEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:47:40 | INFO     | api.main | [OK] Loaded 10 chunks from default documents
2026-05-13 20:47:40 | INFO     | api.main | ======================================================================
2026-05-13 20:47:40 | INFO     | api.main | INITIALIZING ALL LLM PROVIDERS
2026-05-13 20:47:40 | INFO     | api.main | ======================================================================
2026-05-13 20:47:40 | INFO     | api.main | [1] Initializing Google Gemini...
2026-05-13 20:47:40 | INFO     | api.main | [OK] Google Gemini ready: gemini-2.5-flash
2026-05-13 20:47:40 | INFO     | api.main | [2] Initializing Groq...
2026-05-13 20:47:40 | INFO     | api.main | [OK] Groq ready: llama-3.1-8b-instant
2026-05-13 20:47:40 | INFO     | api.main | [3] Initializing OpenRouter...
2026-05-13 20:47:40 | INFO     | api.main | [OK] OpenRouter ready: meta-llama/llama-3.1-8b-instruct:free
2026-05-13 20:47:40 | INFO     | api.main | [PRIMARY] Primary LLM: gemini-2.5-flash
2026-05-13 20:47:40 | INFO     | api.main | [FALLBACK] Fallback chain: gemini-2.5-flash -> llama-3.1-8b-instant -> meta-llama/llama-3.1-8b-instruct:free
2026-05-13 20:47:40 | INFO     | api.main | ======================================================================
2026-05-13 20:48:31 | INFO     | api.main | [CHAT] Query: Sandeep
2026-05-13 20:48:31 | INFO     | api.main | ----------------------------------------------------------------------
2026-05-13 20:48:31 | INFO     | api.main | [STEP 1] Retrieve documents
2026-05-13 20:48:31 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionQueryEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:48:31 | WARNING  | api.main | [WARN] No relevant documents found above threshold (0.35)
2026-05-13 20:48:31 | INFO     | api.main | [FALLBACK] Trying with expanded top_k...
2026-05-13 20:48:31 | WARNING  | api.main | [WARN] Still no results after expanding search
2026-05-13 20:48:40 | INFO     | api.main | [CHAT] Query: 220014
2026-05-13 20:48:40 | INFO     | api.main | ----------------------------------------------------------------------
2026-05-13 20:48:40 | INFO     | api.main | [STEP 1] Retrieve documents
2026-05-13 20:48:40 | WARNING  | api.main | [WARN] No relevant documents found above threshold (0.35)
2026-05-13 20:48:40 | INFO     | api.main | [FALLBACK] Trying with expanded top_k...
2026-05-13 20:48:40 | WARNING  | api.main | [WARN] Still no results after expanding search
2026-05-13 20:48:52 | INFO     | api.main | [CHAT] Query: who is sandeep ?
2026-05-13 20:48:52 | INFO     | api.main | ----------------------------------------------------------------------
2026-05-13 20:48:52 | INFO     | api.main | [STEP 1] Retrieve documents
2026-05-13 20:48:52 | INFO     | api.main | [OK] Retrieved 1 documents
2026-05-13 20:48:52 | INFO     | api.main | [STEP 2] Get chat history
2026-05-13 20:48:52 | INFO     | api.main | [OK] Retrieved 9 history messages
